instance,MultiStart,MDM
4786,351,351
4786,350,351
4786,350,351
4786,351,351
4786,351,351
4786,350,351
4786,351,351
4786,350,350
4786,351,351
4786,350,351
4791,361,361
4791,359,361
4791,364,361
4791,361,361
4791,361,361
4791,360,361
4791,361,361
4791,361,361
4791,361,361
4791,360,361
5226,6095,5562
5226,6015,5526
5226,6054,5541
5226,6011,5546
5226,6024,5597
5226,6022,5551
5226,6097,5570
5226,6059,5517
5226,6056,5396
5226,6062,5528
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-5p_sf.stp,3472,3475
./Instances/testing/cc3-5p_sf.stp,3475,3474
./Instances/testing/cc3-5p_sf.stp,3475,3477
./Instances/testing/cc3-5p_sf.stp,3472,3474
./Instances/testing/cc3-5p_sf.stp,3473,3474
./Instances/testing/cc3-5p_sf.stp,3476,3474
./Instances/testing/cc3-5p_sf.stp,3472,3474
./Instances/testing/cc3-5p_sf.stp,3476,3474
./Instances/testing/cc3-5p_sf.stp,3472,3470
./Instances/testing/cc3-5p_sf.stp,3474,3474
./Instances/testing/cc3-5p_sf_r.stp,2691,2691
./Instances/testing/cc3-5p_sf_r.stp,2691,2691
./Instances/testing/cc3-5p_sf_r.stp,2691,2691
./Instances/testing/cc3-5p_sf_r.stp,2691,2691
./Instances/testing/cc3-5p_sf_r.stp,2691,2691
./Instances/testing/cc3-5p_sf_r.stp,2691,2691
./Instances/testing/cc3-5p_sf_r.stp,2695,2694
./Instances/testing/cc3-5p_sf_r.stp,2691,2691
./Instances/testing/cc3-5p_sf_r.stp,2691,2691
./Instances/testing/cc3-5p_sf_r.stp,2691,2691
./Instances/testing/cc3-5u_sf.stp,34,34
./Instances/testing/cc3-5u_sf.stp,34,34
./Instances/testing/cc3-5u_sf.stp,34,34
./Instances/testing/cc3-5u_sf.stp,34,34
./Instances/testing/cc3-5u_sf.stp,34,34
./Instances/testing/cc3-5u_sf.stp,34,34
./Instances/testing/cc3-5u_sf.stp,34,34
./Instances/testing/cc3-5u_sf.stp,34,34
./Instances/testing/cc3-5u_sf.stp,34,34
./Instances/testing/cc3-5u_sf.stp,34,34
./Instances/testing/cc3-5u_sf_r.stp,31,31
./Instances/testing/cc3-5u_sf_r.stp,31,31
./Instances/testing/cc3-5u_sf_r.stp,31,31
./Instances/testing/cc3-5u_sf_r.stp,31,31
./Instances/testing/cc3-5u_sf_r.stp,31,31
./Instances/testing/cc3-5u_sf_r.stp,31,31
./Instances/testing/cc3-5u_sf_r.stp,31,31
./Instances/testing/cc3-5u_sf_r.stp,31,31
./Instances/testing/cc3-5u_sf_r.stp,31,31
./Instances/testing/cc3-5u_sf_r.stp,31,31
./Instances/testing/cc5-3p_sf.stp,7577,7499
./Instances/testing/cc5-3p_sf.stp,7404,7404
./Instances/testing/cc5-3p_sf.stp,7592,7570
./Instances/testing/cc5-3p_sf.stp,7572,7572
./Instances/testing/cc5-3p_sf.stp,7482,7470
./Instances/testing/cc5-3p_sf.stp,7658,7577
./Instances/testing/cc5-3p_sf.stp,7485,7474
./Instances/testing/cc5-3p_sf.stp,7661,7565
./Instances/testing/cc5-3p_sf.stp,7581,7480
./Instances/testing/cc5-3p_sf.stp,7577,7483
./Instances/testing/cc5-3p_sf_r.stp,6251,6335
./Instances/testing/cc5-3p_sf_r.stp,6347,6339
./Instances/testing/cc5-3p_sf_r.stp,6340,6332
./Instances/testing/cc5-3p_sf_r.stp,6343,6343
./Instances/testing/cc5-3p_sf_r.stp,6344,6332
./Instances/testing/cc5-3p_sf_r.stp,6340,6339
./Instances/testing/cc5-3p_sf_r.stp,6338,6257
./Instances/testing/cc5-3p_sf_r.stp,6339,6338
./Instances/testing/cc5-3p_sf_r.stp,6259,6251
./Instances/testing/cc5-3p_sf_r.stp,6254,6254
./Instances/testing/cc5-3u_sf.stp,75,74
./Instances/testing/cc5-3u_sf.stp,75,73
./Instances/testing/cc5-3u_sf.stp,75,74
./Instances/testing/cc5-3u_sf.stp,75,75
./Instances/testing/cc5-3u_sf.stp,74,74
./Instances/testing/cc5-3u_sf.stp,75,75
./Instances/testing/cc5-3u_sf.stp,75,74
./Instances/testing/cc5-3u_sf.stp,75,75
./Instances/testing/cc5-3u_sf.stp,76,74
./Instances/testing/cc5-3u_sf.stp,75,73
./Instances/testing/cc5-3u_sf_r.stp,49,49
./Instances/testing/cc5-3u_sf_r.stp,48,48
./Instances/testing/cc5-3u_sf_r.stp,51,49
./Instances/testing/cc5-3u_sf_r.stp,50,49
./Instances/testing/cc5-3u_sf_r.stp,49,49
./Instances/testing/cc5-3u_sf_r.stp,49,50
./Instances/testing/cc5-3u_sf_r.stp,49,49
./Instances/testing/cc5-3u_sf_r.stp,49,48
./Instances/testing/cc5-3u_sf_r.stp,50,50
./Instances/testing/cc5-3u_sf_r.stp,49,48
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf.stp,3271,3271
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2p_sf_r.stp,2374,2374
./Instances/testing/cc6-2u_sf.stp,32,32
./Instances/testing/cc6-2u_sf.stp,32,32
./Instances/testing/cc6-2u_sf.stp,32,32
./Instances/testing/cc6-2u_sf.stp,32,32
./Instances/testing/cc6-2u_sf.stp,32,32
./Instances/testing/cc6-2u_sf.stp,32,32
./Instances/testing/cc6-2u_sf.stp,32,32
./Instances/testing/cc6-2u_sf.stp,32,32
./Instances/testing/cc6-2u_sf.stp,32,32
./Instances/testing/cc6-2u_sf.stp,32,32
./Instances/testing/cc6-2u_sf_r.stp,26,27
./Instances/testing/cc6-2u_sf_r.stp,26,26
./Instances/testing/cc6-2u_sf_r.stp,26,26
./Instances/testing/cc6-2u_sf_r.stp,26,26
./Instances/testing/cc6-2u_sf_r.stp,26,26
./Instances/testing/cc6-2u_sf_r.stp,26,27
./Instances/testing/cc6-2u_sf_r.stp,26,27
./Instances/testing/cc6-2u_sf_r.stp,26,26
./Instances/testing/cc6-2u_sf_r.stp,26,26
./Instances/testing/cc6-2u_sf_r.stp,26,27
./Instances/testing/cc9-2p_sf.stp,18164,18006
./Instances/testing/cc9-2p_sf.stp,18001,17988
./Instances/testing/cc9-2p_sf.stp,18081,17981
./Instances/testing/cc9-2p_sf.stp,17987,17851
./Instances/testing/cc9-2p_sf.stp,18059,17949
./Instances/testing/cc9-2p_sf.stp,18076,17951
./Instances/testing/cc9-2p_sf.stp,18106,17778
./Instances/testing/cc9-2p_sf.stp,18162,18003
./Instances/testing/cc9-2p_sf.stp,18116,17807
./Instances/testing/cc9-2p_sf.stp,17969,17962
./Instances/testing/cc9-2p_sf_r.stp,17620,17620
./Instances/testing/cc9-2p_sf_r.stp,17800,17643
./Instances/testing/cc9-2p_sf_r.stp,17680,17648
./Instances/testing/cc9-2p_sf_r.stp,17856,17761
./Instances/testing/cc9-2p_sf_r.stp,17775,17564
./Instances/testing/cc9-2p_sf_r.stp,17723,17351
./Instances/testing/cc9-2p_sf_r.stp,17678,17447
./Instances/testing/cc9-2p_sf_r.stp,17803,17649
./Instances/testing/cc9-2p_sf_r.stp,17769,17637
./Instances/testing/cc9-2p_sf_r.stp,17613,17456
./Instances/testing/cc9-2u_sf.stp,180,180
./Instances/testing/cc9-2u_sf.stp,180,180
./Instances/testing/cc9-2u_sf.stp,181,179
./Instances/testing/cc9-2u_sf.stp,181,181
./Instances/testing/cc9-2u_sf.stp,180,180
./Instances/testing/cc9-2u_sf.stp,179,180
./Instances/testing/cc9-2u_sf.stp,181,180
./Instances/testing/cc9-2u_sf.stp,181,180
./Instances/testing/cc9-2u_sf.stp,181,177
./Instances/testing/cc9-2u_sf.stp,182,179
./Instances/testing/cc9-2u_sf_r.stp,176,175
./Instances/testing/cc9-2u_sf_r.stp,176,173
./Instances/testing/cc9-2u_sf_r.stp,173,176
./Instances/testing/cc9-2u_sf_r.stp,175,175
./Instances/testing/cc9-2u_sf_r.stp,177,173
./Instances/testing/cc9-2u_sf_r.stp,176,174
./Instances/testing/cc9-2u_sf_r.stp,176,174
./Instances/testing/cc9-2u_sf_r.stp,174,174
./Instances/testing/cc9-2u_sf_r.stp,174,174
./Instances/testing/cc9-2u_sf_r.stp,175,173
./Instances/testing/hc6p_sf.stp,4013,4003
./Instances/testing/hc6p_sf.stp,4025,4019
./Instances/testing/hc6p_sf.stp,4020,4014
./Instances/testing/hc6p_sf.stp,4022,4003
./Instances/testing/hc6p_sf.stp,4021,4007
./Instances/testing/hc6p_sf.stp,4011,4010
./Instances/testing/hc6p_sf.stp,4014,4003
./Instances/testing/hc6p_sf.stp,4021,4003
./Instances/testing/hc6p_sf.stp,4029,4010
./Instances/testing/hc6p_sf.stp,4019,4011
./Instances/testing/hc6p_sf_r.stp,3817,3817
./Instances/testing/hc6p_sf_r.stp,3814,3818
./Instances/testing/hc6p_sf_r.stp,3814,3817
./Instances/testing/hc6p_sf_r.stp,3814,3819
./Instances/testing/hc6p_sf_r.stp,3817,3817
./Instances/testing/hc6p_sf_r.stp,3810,3810
./Instances/testing/hc6p_sf_r.stp,3814,3816
./Instances/testing/hc6p_sf_r.stp,3814,3817
./Instances/testing/hc6p_sf_r.stp,3814,3814
./Instances/testing/hc6p_sf_r.stp,3814,3813
./Instances/testing/hc6u_sf.stp,40,39
./Instances/testing/hc6u_sf.stp,40,39
./Instances/testing/hc6u_sf.stp,40,40
./Instances/testing/hc6u_sf.stp,39,40
./Instances/testing/hc6u_sf.stp,40,40
./Instances/testing/hc6u_sf.stp,39,39
./Instances/testing/hc6u_sf.stp,40,40
./Instances/testing/hc6u_sf.stp,40,40
./Instances/testing/hc6u_sf.stp,39,40
./Instances/testing/hc6u_sf.stp,39,39
./Instances/testing/hc6u_sf_r.stp,37,37
./Instances/testing/hc6u_sf_r.stp,37,37
./Instances/testing/hc6u_sf_r.stp,37,37
./Instances/testing/hc6u_sf_r.stp,37,37
./Instances/testing/hc6u_sf_r.stp,37,37
./Instances/testing/hc6u_sf_r.stp,37,37
./Instances/testing/hc6u_sf_r.stp,37,37
./Instances/testing/hc6u_sf_r.stp,37,37
./Instances/testing/hc6u_sf_r.stp,37,37
./Instances/testing/hc6u_sf_r.stp,37,37
./Instances/testing/hc7p_sf.stp,8007,7913
./Instances/testing/hc7p_sf.stp,7951,7929
./Instances/testing/hc7p_sf.stp,8024,7997
./Instances/testing/hc7p_sf.stp,8020,7927
./Instances/testing/hc7p_sf.stp,7954,7945
./Instances/testing/hc7p_sf.stp,8006,7917
./Instances/testing/hc7p_sf.stp,8025,8005
./Instances/testing/hc7p_sf.stp,8017,7927
./Instances/testing/hc7p_sf.stp,8023,7910
./Instances/testing/hc7p_sf.stp,7940,7921
./Instances/testing/hc7p_sf_r.stp,7717,7628
./Instances/testing/hc7p_sf_r.stp,7714,7711
./Instances/testing/hc7p_sf_r.stp,7643,7637
./Instances/testing/hc7p_sf_r.stp,7735,7711
./Instances/testing/hc7p_sf_r.stp,7628,7613
./Instances/testing/hc7p_sf_r.stp,7667,7711
./Instances/testing/hc7p_sf_r.stp,7644,7701
./Instances/testing/hc7p_sf_r.stp,7672,7672
./Instances/testing/hc7p_sf_r.stp,7724,7617
./Instances/testing/hc7p_sf_r.stp,7718,7616
./Instances/testing/hc7u_sf.stp,80,79
./Instances/testing/hc7u_sf.stp,79,79
./Instances/testing/hc7u_sf.stp,79,79
./Instances/testing/hc7u_sf.stp,80,80
./Instances/testing/hc7u_sf.stp,79,79
./Instances/testing/hc7u_sf.stp,80,79
./Instances/testing/hc7u_sf.stp,80,79
./Instances/testing/hc7u_sf.stp,80,79
./Instances/testing/hc7u_sf.stp,79,79
./Instances/testing/hc7u_sf.stp,79,79
./Instances/testing/hc7u_sf_r.stp,77,75
./Instances/testing/hc7u_sf_r.stp,76,75
./Instances/testing/hc7u_sf_r.stp,76,75
./Instances/testing/hc7u_sf_r.stp,75,75
./Instances/testing/hc7u_sf_r.stp,75,75
./Instances/testing/hc7u_sf_r.stp,76,74
./Instances/testing/hc7u_sf_r.stp,76,75
./Instances/testing/hc7u_sf_r.stp,75,75
./Instances/testing/hc7u_sf_r.stp,75,75
./Instances/testing/hc7u_sf_r.stp,76,76
./Instances/testing/hc8p_sf.stp,15985,15929
./Instances/testing/hc8p_sf.stp,15869,15913
./Instances/testing/hc8p_sf.stp,15995,15880
./Instances/testing/hc8p_sf.stp,15928,15928
./Instances/testing/hc8p_sf.stp,15889,15781
./Instances/testing/hc8p_sf.stp,15903,15760
./Instances/testing/hc8p_sf.stp,16030,15886
./Instances/testing/hc8p_sf.stp,15988,15942
./Instances/testing/hc8p_sf.stp,15983,15906
./Instances/testing/hc8p_sf.stp,15899,15899
./Instances/testing/hc8p_sf_r.stp,15640,15554
./Instances/testing/hc8p_sf_r.stp,15527,15543
./Instances/testing/hc8p_sf_r.stp,15566,15547
./Instances/testing/hc8p_sf_r.stp,15620,15564
./Instances/testing/hc8p_sf_r.stp,15496,15684
./Instances/testing/hc8p_sf_r.stp,15622,15551
./Instances/testing/hc8p_sf_r.stp,15582,15643
./Instances/testing/hc8p_sf_r.stp,15641,15543
./Instances/testing/hc8p_sf_r.stp,15636,15622
./Instances/testing/hc8p_sf_r.stp,15551,15551
./Instances/testing/hc8u_sf.stp,158,158
./Instances/testing/hc8u_sf.stp,158,157
./Instances/testing/hc8u_sf.stp,158,158
./Instances/testing/hc8u_sf.stp,160,156
./Instances/testing/hc8u_sf.stp,157,160
./Instances/testing/hc8u_sf.stp,158,159
./Instances/testing/hc8u_sf.stp,158,159
./Instances/testing/hc8u_sf.stp,158,159
./Instances/testing/hc8u_sf.stp,159,157
./Instances/testing/hc8u_sf.stp,159,159
./Instances/testing/hc8u_sf_r.stp,155,155
./Instances/testing/hc8u_sf_r.stp,156,154
./Instances/testing/hc8u_sf_r.stp,155,156
./Instances/testing/hc8u_sf_r.stp,156,154
./Instances/testing/hc8u_sf_r.stp,157,155
./Instances/testing/hc8u_sf_r.stp,157,155
./Instances/testing/hc8u_sf_r.stp,154,154
./Instances/testing/hc8u_sf_r.stp,156,154
./Instances/testing/hc8u_sf_r.stp,155,155
./Instances/testing/hc8u_sf_r.stp,154,155
./Instances/testing/hc9p_sf.stp,31776,31774
./Instances/testing/hc9p_sf.stp,31823,31629
./Instances/testing/hc9p_sf.stp,31761,31599
./Instances/testing/hc9p_sf.stp,31873,31371
./Instances/testing/hc9p_sf.stp,31838,31539
./Instances/testing/hc9p_sf.stp,31699,31740
./Instances/testing/hc9p_sf.stp,31699,31731
./Instances/testing/hc9p_sf.stp,31660,31660 
./Instances/testing/hc9p_sf.stp,31633,31716 
./Instances/testing/hc9p_sf.stp,31645,31438 